Raymond,M,165
Mason,M,22
Mahlon,M,14
Nimrod,M,5
Laura,F,1012
Cecil,M,45
Abner,M,27
Paulina,F,10
Dessa,F,12
Gwendolyn,F,5
Roberta,F,34
Nealie,F,6
Conrad,M,41
Mignon,F,5
Ulysses,M,29
Ivy,F,33
Vina,F,35
Eve,F,7
Ephraim,M,18
Clemie,F,6
Delila,F,5
Ollie,M,63
Delos,M,7
Gus,M,99
Delphine,F,5
Knute,M,5
Junie,F,5
Janet,F,28
Missouri,F,23
Madison,M,22
Norma,F,32
Manerva,F,10
Isabel,F,81
Arizona,F,8
Ashley,M,8
Juana,F,5
Joan,F,12
Nettie,F,403
Zoe,F,23
Imogene,F,12
Rosetta,F,46
Paralee,F,7
Hazel,F,21
Claudia,F,48
Molly,F,18
Freeman,M,26
Enrique,M,5
Marcella,F,14
Mallie,F,11
Cornelius,M,92
Finis,M,9
Corrine,F,5
Clarance,M,8
Minnie,M,9
Lon,M,64
Caesar,M,6
Johannah,F,5
Walton,M,7
Elijah,M,100
Jonathan,M,18
Press,M,8
Ferdinand,M,32
Shelton,M,7
Elnora,F,42
Katherine,F,502
Palmer,M,10
Sherman,M,54
Lovina,F,8
Ottis,M,6
Samuel,M,1024
Icy,F,5
Tennie,F,26
Squire,M,15
Mellie,F,16
Casper,M,15
Coy,M,6
Magdalene,F,13
Cassie,F,33
Louis,F,5
Regina,F,36
Arch,M,61
Pearl,F,569
Rebecca,F,236
Clarke,M,6
Clint,M,27
Pearlie,F,16
Melville,M,17
Loyd,M,14
Marcia,F,9
Lloyd,M,104
Tillie,F,83
Algie,M,7
Mathilde,F,11
Cinda,F,6
Lovie,F,14
Gee,M,5
Aileen,F,6
Edson,M,6
Wayne,M,23
Sidney,M,142
Rolla,M,18
Abby,F,6
Dow,M,5
Pauline,F,144
Esau,M,5
Edith,F,768
Rupert,M,6
Donald,M,46
Mayme,F,124
Altha,F,10
Theo,M,9
Rena,F,74
Omar,M,14
Roswell,M,5
Vernie,M,6
Troy,M,8
Alys,F,5
Rube,M,6
Loula,F,13
Warner,M,10
Walter,M,1755
Aubrey,M,21
Charity,F,29
Zelda,F,6
Ballard,M,6
Hillard,M,6
Nina,F,119
Maymie,F,7
Lucina,F,5
Theodosia,F,10
Jane,F,215
Therese,F,11
Bernhard,M,8
Inez,F,106
Washington,M,24
Katharine,F,76
Sallie,F,404
Daisey,F,11
Aline,F,11
Jessie,F,635
Noah,M,103
Isabella,F,50
Omer,M,29
Hannah,F,221
Ethyl,F,8
Arminta,F,16
Era,F,11
Sylvester,M,89
Bertie,F,77
Harmon,M,23
Patty,F,9
Rosina,F,11
Alf,M,7
Julious,M,5
Anne,F,136
Ossie,F,5
Burt,M,42
Bird,F,10
Ike,M,42
Huldah,F,8
Preston,M,47
Emeline,F,9
Edwin,M,309
Rolland,M,11
Lindsay,M,7
Wong,M,10
Wilhelm,M,6
Roy,M,440
Stephen,M,176
Neil,M,24
Major,M,28
Emily,F,210
Bertrand,M,11
Elias,M,65
Abigail,F,12
Mariah,F,22
Urban,M,10
Nelson,M,99
Lucius,M,38
Green,M,39
Adolph,M,93
Ina,F,79
Etta,F,323
Sybilla,F,6
Adam,M,104
Dorsey,M,14
Nat,M,14
Alpha,F,26
Howard,M,357
Addie,M,8
Webb,M,12
Hal,M,7
Horace,M,199
Wylie,M,12
Dovie,F,30
Asbury,M,6
Adolphus,M,17
Maria,F,125
Viney,F,6
Sampson,M,5
Boston,M,5
Lorin,M,5
Jeff,M,66
Evaline,F,6
Lida,F,49
Joel,M,41
Myra,F,83
Jennie,M,7
Edward,M,2364
Terry,M,10
Elza,M,25
Gina,F,7
Nora,F,471
Fletcher,M,25
Nolie,F,5
Emory,M,40
Rubin,M,14
Ethelyn,F,14
Ethel,M,6
Eda,F,22
Dora,M,6
Justus,M,11
Carleton,M,8
Travis,M,12
Margarita,F,5
Percy,M,94
Lucinda,F,63
Emmitt,M,7
Edie,M,5
Hardy,M,19
Viva,F,7
Ivy,M,5
Raoul,M,7
Verna,F,46
Annabel,F,13
Berta,F,24
Electa,F,6
Wyatt,M,15
Margret,F,24
Kathryne,F,6
Ona,F,21
Louis,M,828
Sandy,M,18
Enos,M,14
Clark,M,49
Billy,M,7
Axel,M,16
Zetta,F,8
Rella,F,7
Jewel,M,5
Wilford,M,18
Lutie,F,19
Dora,F,524
Henderson,M,12
Erie,M,6
Everett,M,110
Smith,M,15
Nella,F,10
Tillman,M,9
Adina,F,5
Isom,M,18
Minerva,F,63
Christine,F,89
Katie,F,303
Minnie,F,1746
Sue,F,65
Luis,M,12
Sammie,M,6
Alma,F,277
Ole,M,29
Harvey,M,344
Nevada,F,12
Elda,F,9
Elige,M,9
Anna,F,2604
Iola,F,15
Malinda,F,35
Adeline,F,54
Rhoda,F,73
Bama,F,6
Pollie,F,5
Maude,F,859
Lavina,F,9
Benjamin,M,490
Rafe,M,6
Rice,M,9
Sophie,F,83
Lafe,M,9
Orville,M,49
Layton,M,5
Ezra,M,39
Aimee,F,13
Roland,M,36
Eldridge,M,13
Corine,F,8
Fleming,M,5
Ila,F,15
Johnny,M,20
Addison,M,19
Etter,F,5
Zella,F,31
Ava,F,13
Newt,M,10
Mack,M,104
John,M,9655
Edd,M,52
Marian,F,56
Jackson,M,46
Alex,M,147
Carson,M,9
Rene,M,5
Una,F,10
Lina,F,49
Blaine,M,5
Jewell,F,8
Mai,F,6
Mina,F,73
Tilda,F,7
Hulda,F,60
Sada,F,6
Luna,F,15
Otho,M,18
Estie,F,5
Tobias,M,7
Irwin,M,22
Johnnie,M,24
Rose,F,700
Leota,F,30
Ruby,F,92
Jerome,M,52
Bernadette,F,8
Elwood,M,23
Winnifred,F,9
Josh,M,31
Jannie,F,21
Daniel,M,643
Saul,M,15
Linna,F,5
Leonard,M,200
Justice,M,5
Tom,M,399
Eber,M,7
Mose,M,52
Donna,F,17
Harrison,M,65
Charles,F,11
Charlotte,F,237
Al,M,12
Julian,M,32
June,M,9
Gabriel,M,15
Gracia,F,5
Alfred,M,469
Mike,M,95
Giles,M,18
Grace,F,982
Antonio,M,26
William,M,9532
Montgomery,M,5
Lydia,F,302
Madeline,F,22
Frank,M,3242
Serena,F,13
Yetta,F,7
Lulu,F,249
Marshal,M,8
Drusilla,F,8
Hope,F,9
Ernie,M,6
Jettie,F,9
Amalia,F,9
Lester,M,109
Estella,F,162
Fronie,F,7
Avis,F,14
Frederick,M,483
Mitchel,M,6
Lavinia,F,21
Beryl,F,11
Neppie,F,7
Isabelle,F,80
Jossie,F,7
Lou,M,14
Bob,M,46
Hampton,M,6
Adele,F,41
Catherine,F,688
Harve,M,17
Lila,F,36
Matilda,F,210
Adelbert,M,28
Rachel,F,166
Baldwin,M,5
Clayton,M,60
Ludwig,M,9
Leroy,M,124
Carra,F,7
Lillian,F,672
Maurice,M,93
Park,M,9
Orpha,F,29
Creed,M,7
Otto,M,271
Fred,F,9
Eliza,F,252
Ella,F,1156
Delbert,M,44
Abbott,M,5
Israel,M,17
Rex,M,13
Minta,F,25
Stanford,M,6
Meda,F,19
Harold,M,113
Barbara,F,127
Wilhelmine,F,6
Harl,M,5
Jeremiah,M,37
Geo,M,16
Darius,M,10
Harris,M,18
Guadalupe,F,5
Cullen,M,9
Pierre,M,13
Louvenia,F,15
Monica,F,6
Vivian,F,22
Paul,M,301
Harry,M,2152
Mat,M,16
Leitha,F,7
Christopher,M,95
Earnest,M,88
Alvina,F,28
Ellsworth,M,11
Agustus,M,5
Winona,F,6
Nate,M,5
Phyllis,F,6
Morris,M,77
Rodney,M,13
Camille,F,8
Woodson,M,8
Simon,M,88
Elena,F,8
Adelle,F,5
Franklin,M,120
Vincent,M,41
Isreal,M,9
Ednah,F,6
Sophronia,F,15
Rudolph,M,54
Lucretia,F,29
Art,M,12
Pattie,F,22
Oda,F,9
Asberry,M,6
Hardin,M,7
Stewart,M,19
Hardie,M,5
Susie,F,361
Melvina,F,21
Iva,F,127
Artie,F,29
Harley,M,70
Esta,F,9
Loretta,F,41
Leora,F,28
Lemuel,M,59
Dayton,M,8
Rollie,M,16
Aurthur,M,5
Bernard,M,140
Ana,F,5
Annabelle,F,9
Elinor,F,9
Odessa,F,14
Margarette,F,9
Besse,F,10
Claudie,F,12
Bella,F,13
Dillie,F,7
Noel,M,10
Fidelia,F,6
Izora,F,11
Duncan,M,12
Marcus,M,47
Melissa,F,33
Chloe,F,20
Duke,M,7
Glenna,F,7
Denis,M,10
Judge,M,25
Carlton,M,13
Iris,F,11
Emelia,F,12
Osa,F,7
Willam,M,13
Ransom,M,5
Elliott,M,21
Matthias,M,5
Drucilla,F,7
Abraham,M,81
Wes,M,5
Eleanore,F,13
Willie,F,192
Maudie,F,9
Ruth,F,234
Michael,M,354
Florence,M,8
Ray,F,8
Waldo,M,10
Flossie,F,25
Simeon,M,23
Myron,M,42
Albin,M,6
Deborah,F,12
